num_layers,layer_size,activation,learning_rate,dropout,accuracy,precision,recall
1,1024,tanh,0.01,0.5,0.5395894428152492,0.45736994219653176,0.35843714609286526
1,1024,tanh,0.1,0,0.5381231671554252,0.4562146892655367,0.36579841449603623
1,1024,tanh,0.1,0.2,0.47409579667644186,0.4272795779954785,0.6421291053227633
1,1024,tanh,0.1,0.5,0.5378787878787878,0.420584498094028,0.18742921857304642
1,2048,elu,0.001,0,0.52297165200391,0.44417767106842737,0.4190260475651189
1,2048,elu,0.001,0.2,0.530791788856305,0.45741150442477874,0.4682899207248018
1,2048,elu,0.001,0.5,0.5185728250244379,0.4523364485981308,0.5481313703284258
1,2048,elu,0.01,0,0.5386119257086999,0.45,0.31087202718006796
1,2048,elu,0.01,0.2,0.5388563049853372,0.46263125386040765,0.42412231030577574
1,2048,elu,0.01,0.5,0.5144183773216031,0.44700239808153475,0.5277463193657984
1,2048,elu,0.1,0,0.5413000977517106,0.4546938775510204,0.31540203850509624
1,2048,elu,0.1,0.2,0.5610948191593352,0.47201492537313433,0.1432616081540204
1,2048,elu,0.1,0.5,0.5493646138807429,0.47040971168437024,0.3510758776896942
1,2048,tanh,0.001,0,0.5369012707722385,0.46252178965717605,0.4507361268403171
1,2048,tanh,0.001,0.2,0.5503421309872922,0.4715821812596006,0.347678369195923
1,2048,tanh,0.001,0.5,0.5442326490713587,0.45808636748518206,0.3063420158550396
1,2048,tanh,0.01,0,0.5305474095796676,0.4407039020657995,0.3261608154020385
1,2048,tanh,0.01,0.2,0.5263929618768328,0.45473684210526316,0.48924122310305773
1,2048,tanh,0.01,0.5,0.5334799608993157,0.45051903114186853,0.3686296715741789
1,2048,tanh,0.1,0,0.4921798631476051,0.4405487804878049,0.6545866364665912
1,2048,tanh,0.1,0.2,0.5584066471163245,0.4742785445420326,0.21404303510758776
1,2048,tanh,0.1,0.5,0.4650537634408602,0.43703483179517716,0.8312570781426953
2,512,elu,0.001,0,0.5285923753665689,0.45157456922162803,0.43035107587768967
2,512,elu,0.001,0.2,0.5378787878787878,0.4622812311406156,0.4337485843714609
2,512,elu,0.001,0.5,0.532258064516129,0.4418238993710692,0.318233295583239
2,512,elu,0.01,0,0.5425219941348973,0.4631432545201669,0.37712344280860705
2,512,elu,0.01,0.2,0.43328445747800587,0.4311675379636545,0.9807474518686297
2,512,elu,0.01,0.5,0.4310850439882698,0.4312285854136074,0.9977349943374858
2,512,elu,0.1,0,0.4315738025415445,0.4315738025415445,1.0
