num_layers,layer_size,activation,learning_rate,accuracy,precision,recall
2,500,relu,0.005,0.4538123167155425,0.4508728179551122,0.9820749592612711
2,500,relu,0.05,0.49780058651026393,0.45395869191049915,0.5730581205866377
2,500,relu,0.5,0.4621212121212121,0.4506849315068493,0.8935361216730038
2,500,elu,0.005,0.5012218963831867,0.4439461883408072,0.43020097772949484
2,500,elu,0.05,0.4743401759530792,0.4391679748822606,0.6078218359587181
2,500,elu,0.5,0.5009775171065494,0.44859335038363174,0.4763715372080391
2,500,tanh,0.005,0.5136852394916911,0.4569115095430885,0.42911461162411735
2,500,tanh,0.05,0.511485826001955,0.43460264900662254,0.28517110266159695
2,500,tanh,0.5,0.500733137829912,0.4361567635903919,0.3747963063552417
2,1000,relu,0.005,0.5312805474095796,0.4172043010752688,0.10537751222161869
2,1000,relu,0.05,0.48704789833822093,0.44909234411996846,0.6181423139598045
2,1000,relu,0.5,0.45698924731182794,0.44736114948880906,0.8794133623030962
2,1000,elu,0.005,0.5156402737047898,0.45134575569358176,0.3552417164584465
2,1000,elu,0.05,0.5051319648093842,0.456315289648623,0.5219989136338946
2,1000,elu,0.5,0.49780058651026393,0.449480642115203,0.5171102661596958
2,1000,tanh,0.005,0.5051319648093842,0.4575645756457565,0.538837588267246
2,1000,tanh,0.05,0.4916911045943304,0.4430138292799237,0.5046170559478544
2,1000,tanh,0.5,0.49560117302052786,0.4516268980477223,0.5654535578489951
2,1500,relu,0.005,0.5381231671554252,0.42686567164179107,0.07767517653449213
2,1500,relu,0.05,0.47580645161290325,0.4479095270733379,0.7099402498642042
2,1500,relu,0.5,0.45454545454545453,0.44993597951344433,0.9543726235741445
2,1500,elu,0.005,0.5117302052785924,0.45853143159006865,0.4714828897338403
2,1500,elu,0.05,0.5227272727272727,0.454983922829582,0.30744160782183594
2,1500,elu,0.5,0.5061094819159335,0.44773519163763065,0.418794133623031
2,1500,tanh,0.005,0.49266862170087977,0.44068652195860675,0.47419880499728406
2,1500,tanh,0.05,0.48289345063538613,0.4265098877605559,0.43346007604562736
2,1500,tanh,0.5,0.5097751710654936,0.4561869357408391,0.4665942422596415
3,500,relu,0.005,0.541544477028348,0.47235387045813587,0.16241173275393808
3,500,relu,0.05,0.5454545454545454,0.4609053497942387,0.060836501901140684
3,500,relu,0.5,0.5070869990224829,0.45860771401693323,0.5296034763715373
3,500,elu,0.005,0.512218963831867,0.45618993781797623,0.4383487235198262
3,500,elu,0.05,0.49486803519061584,0.44849589790337285,0.534492123845736
3,500,elu,0.5,0.5,0.4466978679147166,0.4665942422596415
3,500,tanh,0.005,0.489247311827957,0.44762305427008836,0.5779467680608364
3,500,tanh,0.05,0.49780058651026393,0.4558216350123865,0.5996740901683868
3,500,tanh,0.5,0.5153958944281525,0.4619914346895075,0.4687669744703965
3,1000,relu,0.005,0.4670087976539589,0.45280399777901165,0.8859315589353612
3,1000,relu,0.05,0.5061094819159335,0.46311475409836067,0.6137968495382944
3,1000,relu,0.5,0.500733137829912,0.45315398886827457,0.5306898424769148
3,1000,elu,0.005,0.5063538611925709,0.44952058657642413,0.4329168929929386
3,1000,elu,0.05,0.5087976539589443,0.4621246077991932,0.5600217273221075
3,1000,elu,0.5,0.48533724340175954,0.4291064740502943,0.4356328082563824
3,1000,tanh,0.005,0.5197947214076246,0.4539375928677563,0.33188484519282996
3,1000,tanh,0.05,0.5141739980449658,0.465083135391924,0.5317762085822922
3,1000,tanh,0.5,0.4916911045943304,0.44179249878226984,0.4926670287887018
3,1500,relu,0.005,0.5359237536656891,0.44765342960288806,0.1347093970668115
3,1500,relu,0.05,0.45527859237536655,0.4471965160587915,0.8924497555676263
3,1500,relu,0.5,0.5087976539589443,0.4519613416714042,0.43183052688756113
3,1500,elu,0.005,0.48900293255131966,0.44007670182166825,0.4986420423682781
3,1500,elu,0.05,0.501466275659824,0.4535263895375993,0.5274307441607822
3,1500,elu,0.5,0.5144183773216031,0.4507422402159244,0.3628462791960891
3,1500,tanh,0.005,0.47996089931573804,0.44405458089668615,0.6186854970124932
3,1500,tanh,0.05,0.5180840664711632,0.4505660377358491,0.3242802824551874
3,1500,tanh,0.5,0.48655913978494625,0.43670886075949367,0.4872351982618142
4,500,relu,0.005,0.5498533724340176,0.4,0.0010863661053775121
4,500,relu,0.05,0.52297165200391,0.4106280193236715,0.1385116784356328
4,500,relu,0.5,0.543743890518084,0.45695364238410596,0.07495926127104835
4,500,elu,0.005,0.5031769305962854,0.441320293398533,0.3921781640412819
4,500,elu,0.05,0.5083088954056696,0.4568835098335855,0.49212384573601303
4,500,elu,0.5,0.5149071358748778,0.45818815331010454,0.42857142857142855
4,500,tanh,0.005,0.5097751710654936,0.45315161839863716,0.43346007604562736
4,500,tanh,0.05,0.4846041055718475,0.44769711163153786,0.6230309614340033
4,500,tanh,0.5,0.5146627565982405,0.4581166955517042,0.4307441607821836
4,1000,relu,0.005,0.45576735092864123,0.44769647696476966,0.8973384030418251
4,1000,relu,0.05,0.4645650048875855,0.451307735114079,0.8810429114611624
4,1000,relu,0.5,0.4560117302052786,0.45210251306295096,0.9869636067354699
4,1000,elu,0.005,0.48949169110459434,0.43641025641025644,0.46224877783813145
4,1000,elu,0.05,0.5021994134897361,0.45671378091872794,0.5616512764801738
4,1000,elu,0.5,0.532258064516129,0.46396841066140176,0.2552960347637154
4,1000,tanh,0.005,0.49682306940371457,0.4463054187192118,0.49212384573601303
4,1000,tanh,0.05,0.521505376344086,0.4227212681638045,0.17381857686040195
4,1000,tanh,0.5,0.4846041055718475,0.44341216216216217,0.5703422053231939
4,1500,relu,0.005,0.5449657869012707,0.46534653465346537,0.07658881042911461
4,1500,relu,0.05,0.45650048875855326,0.4508596356171414,0.9543726235741445
4,1500,relu,0.5,0.45161290322580644,0.44971300224606936,0.9788158609451385
4,1500,elu,0.005,0.488514173998045,0.4323308270676692,0.4372623574144487
4,1500,elu,0.05,0.49731182795698925,0.45135135135135135,0.5442694187941336
4,1500,elu,0.5,0.5051319648093842,0.45660377358490567,0.5258011950027159
4,1500,tanh,0.005,0.4995112414467253,0.44390243902439025,0.4448669201520912
4,1500,tanh,0.05,0.5129521016617791,0.46370582617000955,0.5274307441607822
4,1500,tanh,0.5,0.5002443792766373,0.45677966101694917,0.5855513307984791
